name,Wayde van Niekerk,Michael Johnson,Harry Reynolds,Jeremy Wariner,Michael Norman,Steven Gardiner,Quincy Watts,Fred Kerley,LaShawn Merritt,Isaac Makwala,Kirani James,Danny Everett,Randolph Ross,Steve Lewis,Youssef Al-Masrahi,Anthony Zambrano,Akeem Bloomfield,Machel Cedenio,Baboloki Thebe,Michael Cherry,Angelo Taylor,Abdalelah Haroun,Alvin Harrison,Jerome Young,Gary Kikaya,Luguelin Santos,Derek Mills,Nathon Allen,Roberto Hernández,Anthuan Maybank,Otis Harris,Innocent Egbunike,Samson Kitur,Ian Morris,Gil Roberts,Bryce Deadmon,Tony McQuay,Trevor Stewart,Alberto Juantorena,Matthew Hudson-Smith,Vernon Norwood,Alonzo Babers,Antonio Pettigrew,Darold Williamson,Andrew Valmon,Tyree Washington,Derrick Brew,Sanderlei Claro Parrela,Nathan Strother,Gabriel Tiacoh,Alejandro Cárdenas,Thomas Schönlebe,Darnell Hall,Andrew Rock,Iwan Thomas,Deon Lendore,Roger Black,Davis Kamoga,Mark Richardson,Darren Clark,Bralon Taplin,Christopher Brown,Jermaine Gonzáles,David Verburg,Jonathan Borlée,Paul Dedewo,Jonathan Jones,Tyler Christopher,Darrell Robinson,Avard Moncur,Leonard Byrd,Martyn Rooney,Leslie Djhoné,Demish Gaye,Michael Franks,Alleyne Francique,Wilbert London,Roddie Haley,Liemarvin Bonevacia,Roxbert Martin,Derek Redmond,Bert Cameron,Javon Francis,Bryshon Nellum,Jerome Davis,Lalonde Gordon,Renny Quow,Ricardo Chambers,Rabah Yousif,Mohamed Al Malky,Gregory Haughton,Kévin Borlée,Jamie Baulch,Raymond Pierre,Hendrik Mokganyetsi,Michael Blackwood,Nery Brenes,David Neville,Sunday Bada,Kelly Willie,Michael McDonald,Calvin Harrison,Brandon Simpson,Ibrahim Ismail,Ingo Schultz,Milton Campbell,Sunder Nix,Antonio McKay,Eric Milazar,Tim Simon,Willie Smith,Clarence Daniel,Michael Berry,Walter McCoy,Jason Rouser,Kennedy Ochieng,Tabarie Henry,Demetrius Pinder,Pavel Maslák,Danny McCray,Davian Clarke,Jens Carlowitz,Harald Schmid
2000,,4355.7,4397.7,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,,,4453.5,,4441.199999999999,4469.3,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,4444.9,,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4470.299999999999,,4486.9,4499.1,,,,,4484.900000000001,,4484.8,4481.999999999999,,4487.599999999999,,4495.0,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4500.6,4499.2,4510.5
2001,,4355.7,4397.7,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,,,4453.5,,4441.199999999999,4469.3,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,4439.9,4489.7,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,,,,,,,,4475.8,4473.9,,,,,4482.5,,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4467.1,,4486.9,4499.1,4492.3,,,,4484.900000000001,,4477.7,4481.5,,4487.599999999999,,4495.0,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4499.7,4499.2,4510.5
2002,,4355.7,4397.7,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,,,4453.5,,4441.199999999999,4469.3,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,4439.9,4489.7,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,,,,,,,,4475.8,4473.5,4486.6,,,,4482.5,,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4489.200000000001,,,4484.900000000001,,4476.6,4480.599999999999,,4487.599999999999,,4495.0,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4499.7,4499.2,4510.5
2003,,4355.7,4397.7,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,,,4453.5,,4441.199999999999,4469.3,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,4437.5,4484.2,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,,,,,,,,4475.8,4473.5,4486.499999999999,,,,4482.5,4490.900000000001,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4477.6,,,4484.900000000001,,4476.6,4480.599999999999,,4487.599999999999,,4495.0,4495.9,4476.3,4494.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4499.7,4499.2,4510.5
2004,,4355.7,4397.7,4471.3,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,,,4453.5,,4441.199999999999,4469.3,4484.2,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,4437.5,4470.1,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,,,,,,,,4475.8,4473.5,4486.499999999999,,4493.7,,4482.5,4468.499999999999,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4474.5,,,4484.900000000001,,4476.6,4480.599999999999,4498.2,4487.599999999999,4500.2,4495.0,4495.9,4476.3,4493.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4497.4,4499.2,4510.5
2005,,4355.7,4397.7,4445.2,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,4489.799999999999,,4453.5,,4441.199999999999,4469.3,4484.2,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,4464.5,4450.400000000001,4437.5,4469.4,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,4486.900000000001,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,4493.6,,,,,,,4475.8,4473.5,4486.499999999999,,4493.7,,4482.5,4465.8,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4474.200000000001,,,4484.900000000001,4496.599999999999,4476.6,4480.599999999999,4485.400000000001,4487.599999999999,4500.2,4495.0,4495.9,4476.3,4493.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4496.0,4499.2,4510.5
2006,,4355.7,4397.7,4400.099999999999,,,4404.9,,4458.400000000001,,,4418.7,,4423.800000000001,,,,,,,,,4434.6,4460.700000000001,4452.5,,4453.5,,4441.199999999999,4469.3,4482.9,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,4464.099999999999,4450.400000000001,4437.5,4469.3,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,4468.099999999999,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,4490.499999999999,,,,,,4492.7,4475.8,4473.5,4486.499999999999,,4492.299999999999,,4482.5,4464.099999999999,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4474.1,,,4484.900000000001,4496.599999999999,4476.6,4480.599999999999,4481.1,4487.599999999999,4500.2,4495.0,4495.9,4476.3,4493.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4496.0,4499.2,4510.5
2007,,4355.7,4397.7,4384.5999999999985,,,4404.9,,4428.0,,,4418.7,,4423.800000000001,,,,,,,4456.900000000001,,4434.6,4460.700000000001,4451.3,,4453.5,,4441.199999999999,4469.3,4482.9,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,4462.099999999999,4450.400000000001,4437.5,4469.3,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,4468.099999999999,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,4469.9,,,,,,4476.099999999999,4475.8,4473.3,4486.499999999999,,4482.099999999999,,4482.5,4464.099999999999,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,4489.200000000001,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4474.1,,,4484.900000000001,4496.599999999999,4476.6,4480.599999999999,4481.1,4487.599999999999,4500.2,4495.0,4495.9,4476.3,4493.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4496.0,4499.2,4510.5
2008,,4355.7,4397.7,4380.599999999999,,,4404.9,,4405.8,,,4418.7,,4423.800000000001,,,,,,,4451.6,,4434.6,4460.700000000001,4451.3,,4453.5,,4441.199999999999,4469.3,4482.9,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,4462.099999999999,4450.400000000001,4437.5,4469.3,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,4468.099999999999,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,4455.6,,,,,,4473.6,4475.8,4473.3,4486.499999999999,,4479.5,,4482.5,4464.099999999999,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,,4482.799999999999,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4474.1,,4492.199999999999,4484.900000000001,4496.599999999999,4476.6,4480.599999999999,4481.1,4487.599999999999,4500.2,4495.0,4495.9,4476.3,4493.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4496.0,4499.2,4510.5
2009,,4355.7,4397.7,4380.599999999999,,,4404.9,,4403.099999999999,,,4418.7,,4423.800000000001,,,,,,,4451.6,,4434.6,4460.700000000001,4451.3,,4453.5,,4441.199999999999,4469.3,4482.9,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,4462.099999999999,4450.400000000001,4437.5,4469.3,4464.7,,4458.9,4483.300000000001,4464.700000000001,4467.999999999999,4468.099999999999,4447.9,,4456.499999999999,4461.2,4449.599999999999,4474.4,,4455.6,,,,,,4473.6,4475.8,4473.3,4486.499999999999,,4477.7,,4482.5,4464.099999999999,,4472.799999999999,,4483.599999999999,4488.699999999999,4469.2,,,4496.799999999999,,4489.399999999999,4482.799999999999,,4495.4,4466.299999999999,,4486.9,4499.1,4492.3,4474.1,,4492.199999999999,4484.900000000001,4496.599999999999,4476.6,4480.599999999999,4481.1,4487.599999999999,4500.2,4495.0,4495.9,4476.3,4493.900000000001,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,4499.3,,,,4500.1,4496.0,4499.2,4510.5
